question,subject
What is the main purpose of an operating system?,Operating Systems
Explain the difference between preemptive and non-preemptive scheduling.,Operating Systems
What is a deadlock? How can it be prevented?,Operating Systems
Describe the concept of virtual memory.,Operating Systems
What are the different process states in an operating system?,Operating Systems
Explain the working of the Round Robin scheduling algorithm.,Operating Systems
What is thrashing in OS?,Operating Systems
Difference between mutex and semaphore.,Operating Systems
What is a system call? Give examples.,Operating Systems
Explain paging and segmentation in memory management.,Operating Systems
What is the role of the file system in an OS?,Operating Systems
Describe the producer-consumer problem.,Operating Systems
What is RAID? Explain different RAID levels.,Operating Systems
How does a fork() system call work?,Operating Systems
Explain the concept of demand paging.,Operating Systems
What is the difference between monolithic and microkernel architectures?,Operating Systems
How does the LRU page replacement algorithm work?,Operating Systems
What is a zombie process?,Operating Systems
Explain the concept of CPU scheduling.,Operating Systems
What is the purpose of the swap space?,Operating Systems
Describe the Banker's algorithm for deadlock avoidance.,Operating Systems
What is a real-time operating system?,Operating Systems
Explain the concept of spooling.,Operating Systems
Difference between internal and external fragmentation.,Operating Systems
What is a distributed operating system?,Operating Systems
Explain the concept of IPC (Inter-Process Communication).,Operating Systems
What is the role of the shell in an operating system?,Operating Systems
Describe the working of the First-Come-First-Served scheduling algorithm.,Operating Systems
What is a page fault?,Operating Systems
Explain the concept of multithreading.,Operating Systems
What is the difference between system and application programs?,Operating Systems
Describe the working of the Shortest Job First scheduling algorithm.,Operating Systems
What is a critical section problem?,Operating Systems
Explain the concept of buffering in OS.,Operating Systems
What is the purpose of the init process in Unix?,Operating Systems
Describe the working of the Priority scheduling algorithm.,Operating Systems
What is a kernel?,Operating Systems
Explain the concept of context switching.,Operating Systems
What is the difference between logical and physical addresses?,Operating Systems
Describe the working of the Multi-level Queue scheduling algorithm.,Operating Systems
What is a trap in OS?,Operating Systems
Explain the concept of memory-mapped files.,Operating Systems
What is the purpose of the TLB (Translation Lookaside Buffer)?,Operating Systems
Describe the working of the Multi-level Feedback Queue scheduling algorithm.,Operating Systems
What is a race condition?,Operating Systems
Explain the concept of disk scheduling.,Operating Systems
What is the difference between synchronous and asynchronous I/O?,Operating Systems
Describe the working of the Shortest Remaining Time First scheduling algorithm.,Operating Systems
What is a system program?,Operating Systems
Explain the concept of process synchronization.,Operating Systems
What is the purpose of the BIOS in a computer system?,Operating Systems
What is a database management system (DBMS)?,DBMS
Explain the ACID properties in DBMS.,DBMS
What is normalization? Explain 1NF, 2NF, and 3NF.,DBMS
Difference between primary key and unique key.,DBMS
What is a transaction in DBMS?,DBMS
Explain the concept of indexing in databases.,DBMS
What are the different types of joins in SQL?,DBMS
Describe the CAP theorem in distributed databases.,DBMS
What is a stored procedure?,DBMS
Explain the difference between DELETE, TRUNCATE, and DROP commands.,DBMS
What is a view in SQL?,DBMS
Describe the concept of database sharding.,DBMS
What is a trigger in DBMS?,DBMS
Explain the difference between clustered and non-clustered indexes.,DBMS
What is a deadlock in DBMS? How is it handled?,DBMS
Describe the concept of database replication.,DBMS
What is a cursor in SQL?,DBMS
Explain the difference between OLTP and OLAP systems.,DBMS
What is a composite key?,DBMS
Describe the concept of database normalization.,DBMS
What is a subquery in SQL?,DBMS
Explain the difference between inner and outer joins.,DBMS
What is a foreign key?,DBMS
Describe the concept of database transactions.,DBMS
What is a materialized view?,DBMS
Explain the difference between horizontal and vertical partitioning.,DBMS
What is a database schema?,DBMS
Describe the concept of referential integrity.,DBMS
What is a self-join?,DBMS
Explain the difference between a database and a data warehouse.,DBMS
What is a NoSQL database?,DBMS
Describe the concept of database indexing.,DBMS
What is a correlated subquery?,DBMS
Explain the difference between a full backup and incremental backup.,DBMS
What is a database checkpoint?,DBMS
Describe the concept of database concurrency control.,DBMS
What is a phantom read?,DBMS
Explain the difference between a database administrator and data engineer.,DBMS
What is a database lock?,DBMS
Describe the concept of database triggers.,DBMS
What is a dirty read in DBMS?,DBMS
Explain the difference between a database view and table.,DBMS
What is a database transaction log?,DBMS
Describe the concept of database security.,DBMS
What is a non-repeatable read?,DBMS
Explain the difference between a database index and a hash.,DBMS
What is a database constraint?,DBMS
Describe the concept of database backup and recovery.,DBMS
What is a database connection pool?,DBMS
Explain the difference between a database and a filesystem.,DBMS
What is a database deadlock?,DBMS
Describe the concept of database performance tuning.,DBMS
What is object-oriented programming?,OOPS
Explain the four pillars of OOPS.,OOPS
What is the difference between a class and an object?,OOPS
Describe the concept of inheritance in OOPS.,OOPS
What is polymorphism? Give examples.,OOPS
Explain the concept of encapsulation in OOPS.,OOPS
What is abstraction in OOPS?,OOPS
Difference between method overloading and method overriding.,OOPS
What is a constructor?,OOPS
Explain the concept of interfaces in OOPS.,OOPS
What is a destructor?,OOPS
Describe the concept of abstract classes.,OOPS
What is multiple inheritance? How is it handled in Java?,OOPS
Explain the concept of composition in OOPS.,OOPS
What is a friend function in C++?,OOPS
Describe the concept of operator overloading.,OOPS
What is a virtual function?,OOPS
Explain the concept of static and dynamic binding.,OOPS
What is an exception in OOPS?,OOPS
Describe the concept of design patterns.,OOPS
What is the singleton pattern?,OOPS
Explain the concept of aggregation in OOPS.,OOPS
What is a pure virtual function?,OOPS
Describe the concept of method hiding.,OOPS
What is the factory pattern?,OOPS
Explain the concept of dependency injection.,OOPS
What is the difference between an interface and an abstract class?,OOPS
Describe the concept of the 'this' pointer in C++.,OOPS
What is the observer pattern?,OOPS
Explain the concept of copy constructors.,OOPS
What is the decorator pattern?,OOPS
Describe the concept of namespaces in C++.,OOPS
What is the strategy pattern?,OOPS
Explain the concept of templates in C++.,OOPS
What is the adapter pattern?,OOPS
Describe the concept of function overriding.,OOPS
What is the MVC pattern?,OOPS
Explain the concept of virtual inheritance in C++.,OOPS
What is the prototype pattern?,OOPS
Describe the concept of access modifiers.,OOPS
What is the command pattern?,OOPS
Explain the concept of friend classes.,OOPS
What is the state pattern?,OOPS
Describe the concept of object slicing.,OOPS
What is the bridge pattern?,OOPS
Explain the concept of inline functions.,OOPS
What is the flyweight pattern?,OOPS
Describe the concept of RTTI (Run-Time Type Information).,OOPS
What is an array?,DSA
Explain the time complexity of binary search.,DSA
What is a linked list? Describe its types.,DSA
Difference between stack and queue.,DSA
What is a hash table? How does it work?,DSA
Explain the concept of recursion.,DSA
What is a binary tree? Describe its properties.,DSA
Difference between BFS and DFS.,DSA
What is a heap data structure?,DSA
Explain the concept of dynamic programming.,DSA
What is a graph? Describe its representations.,DSA
Difference between quick sort and merge sort.,DSA
What is a trie data structure?,DSA
Explain the concept of greedy algorithms.,DSA
What is a red-black tree?,DSA
Difference between array and linked list.,DSA
What is a priority queue?,DSA
Explain the concept of backtracking.,DSA
What is an AVL tree?,DSA
Difference between linear and binary search.,DSA
What is a skip list?,DSA
Explain the concept of memoization.,DSA
What is a B-tree?,DSA
Difference between selection sort and insertion sort.,DSA
What is a disjoint set (union-find) data structure?,DSA
Explain the concept of topological sorting.,DSA
What is a segment tree?,DSA
Difference between bubble sort and quick sort.,DSA
What is a suffix tree?,DSA
Explain the concept of divide and conquer algorithms.,DSA
What is a Fibonacci heap?,DSA
Difference between adjacency list and adjacency matrix.,DSA
What is a circular queue?,DSA
Explain the concept of hashing.,DSA
What is a splay tree?,DSA
Difference between depth-first and breadth-first search.,DSA
What is a deque?,DSA
Explain the concept of the Knuth-Morris-Pratt algorithm.,DSA
What is a binomial heap?,DSA
Difference between Dijkstra's and Bellman-Ford algorithms.,DSA
What is a Fenwick tree?,DSA
Explain the concept of the Floyd-Warshall algorithm.,DSA
